・变动日期,2015-05-21,2015-04-13,2014-09-01,2014-08-29,2014-06-12,2014-06-06,2014-01-09,2013-11-12,2013-06-20,2013-06-14,2012-12-31,2011-08-05,2011-06-30,2010-12-31,2010-09-17,2010-06-30,2010-06-28,2010-06-25,2009-10-15,2009-06-30,2009-06-22,2009-06-19,2008-10-31,2008-06-27,2008-06-26,2008-01-21,2007-12-28,2007-06-20,2004-12-30,2001-10-15,2000-12-08,1999-12-31,1997-08-27,1996-05-29,1995-09-27,1994-09-02,1994-08-22,1994-07-14,1993-07-05,1993-05-24,1992-12-31,1992-03-23,1991-12-31,1991-08-17,1991-04-03
・公告日期,2015-05-20,2015-04-07,2014-08-29,2014-08-29,2014-06-06,2014-06-06,2014-01-08,2013-11-08,2013-06-14,2013-06-14,2013-03-08,2011-08-04,2011-08-18,2011-02-25,2010-09-16,2010-08-25,2010-06-25,2010-06-25,2009-10-14,2009-08-21,2009-06-19,2009-06-19,2008-10-24,2008-07-04,2008-06-25,2008-01-18,2008-01-08,2007-06-14,2004-12-31,1900-01-01,,,,,,,,,1900-01-01,1900-01-01,1900-01-01,1900-01-01,1900-01-01,1900-01-01,1900-01-01
・股本结构图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
・变动原因,增发,送、转股,其它上市,股份性质变动,送、转股,股份性质变动,增发,其它上市,送、转股,股份性质变动,定期报告,增发,定期报告,定期报告,增发,定期报告,其它上市,股份性质变动,其它上市,定期报告,其它上市,股份性质变动,送、转股,权证行权,其它上市,其它上市,权证行权,股权分置,股份性质变动,其它上市,配股,定期报告,送、转股,送、转股,送、转股,其它上市,配股,送、转股,配股,送、转股,股份性质变动,送、转股,股份性质变动,送、转股,IPO
・总股本,1430867.614万股,1370987.374万股,1142489.479万股,1142489.479万股,1142489.479万股,952074.566万股,952074.566万股,819736.067万股,819736.067万股,512335.042万股,512335.042万股,512335.042万股,348501.376万股,348501.376万股,348501.376万股,348501.376万股,310543.376万股,310543.376万股,310543.376万股,310543.376万股,310543.376万股,310543.376万股,310543.376万股,238879.52万股,229340.715万股,229340.715万股,229340.715万股,208675.835万股,194582.215万股,194582.215万股,194582.215万股,155184.709万股,155184.709万股,103456.473万股,51728.236万股,43106.864万股,43106.864万股,40412.685万股,26941.79万股,24921.29万股,13470.968万股,13469.663万股,8979.936万股,8827万股,6790万股
  流通股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    流通A股,1180405.458万股,1180405.458万股,983671.215万股,669110.578万股,669105.862万股,557588.218万股,557590.188万股,557590.188万股,496857.388万股,310535.867万股,310535.802万股,310535.867万股,310535.867万股,310535.851万股,310536.76万股,310536.76万股,310536.998万股,292411.426万股,292411.426万股,292375.682万股,292367.46万股,278459.386万股,278460.573万股,214200.441万股,204652.054万股,175682.055万股,170327.061万股,155018.779万股,140936.197万股,140842.023万股,139218.303万股,107091.002万股,107090.248万股,71393.498万股,35721.148万股,29707.148万股,28659.563万股,26868.338万股,17912.225万股,13810.19万股,7464.968万股,7463.663万股,4975.936万股,4823万股,3710万股
    高管股,1.466万股,1.466万股,1.221万股,1.221万股,5.937万股,4.947万股,2.978万股,2.978万股,2.978万股,1.861万股,1.926万股,0万股,1.861万股,1.878万股,0万股,0万股,0万股,0万股,0万股,0万股,8.954万股,8.954万股,0万股,0万股,0万股,54.308万股,54.308万股,11.037万股,0万股,94.173万股,94.173万股,72.441万股,73.196万股,48.797万股,0万股,30.016万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    限售A股,250460.69万股,190580.451万股,158817.042万股,473377.68万股,473377.68万股,394481.4万股,394481.4万股,262142.901万股,322875.701万股,201797.313万股,201797.313万股,201799.174万股,37963.648万股,37963.648万股,37964.468万股,37963.648万股,5.648万股,18131.219万股,18131.219万股,18166.963万股,18166.963万股,32075.036万股,32082.803万股,24679.079万股,24688.661万股,53604.352万股,58959.346万股,53646.018万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    流通B股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    限售B股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    流通H股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    国家股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,12539.002万股,12539.002万股,12453.742万股,12453.742万股,8302.495万股,4151.247万股,3459.373万股,3459.373万股,3243.162万股,2162.108万股,11111.1万股,6006万股,6006万股,4004万股,4004万股,3080万股
    国有法人股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    境内法人股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,9910.328万股,9910.328万股,9290.935万股,6193.957万股,0万股,0万股,0万股,0万股,0万股,0万股
      境内发起人股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,12539.002万股,12539.002万股,12453.742万股,12453.742万股,8302.495万股,4151.247万股,13369.7万股,13369.7万股,12534.097万股,8356.065万股,11111.1万股,6006万股,6006万股,4004万股,4004万股,3080万股
      募集法人股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,18835.688万股,41107.017万股,42730.737万股,35567.524万股,35567.524万股,23711.682万股,11855.841万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
      一般法人股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
      战略投资者持股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
      基金持股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    转配股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    内部职工股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,1077.6万股,1010.25万股,673.5万股,0万股,0万股,0万股,0万股,0万股,0万股
    优先股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
