・变动日期,2009-08-14,2008-08-06,2008-06-30,2007-12-18,2007-08-06,2006-07-31,2002-12-31,2001-07-17,2001-02-07,2000-09-01,1998-08-25,1997-08-27,1996-08-15,1995-07-28,1994-11-04,1994-09-28,1994-01-03
・公告日期,2009-08-13,2008-08-05,2008-08-28,2007-12-15,2007-08-02,2006-07-27,,1900-01-01,,,,,,,1900-01-01,1900-01-01,
・股本结构图,,,,,,,,,,,,,,,,,
・变动原因,其它上市,其它上市,定期报告,其它上市,其它上市,股权分置,定期报告,送、转股,配股,送、转股,送、转股,送、转股,送、转股,送、转股,配股,送、转股, 历史遗留
・总股本,91433.361万股,91433.361万股,91433.361万股,91433.361万股,91433.361万股,91433.361万股,70866.132万股,70866.132万股,65167.975万股,56981.925万股,51801.75万股,34534.5万股,26565万股,23100万股,21000万股,18000万股,9000万股
  流通股,,,,,,,,,,,,,,,,,
    流通A股,91374.301万股,72950.256万股,72865.87万股,72861.588万股,72510.255万股,61695.978万股,37394.962万股,37394.962万股,34388.132万股,27019.247万股,24562.952万股,16375.301万股,12596.385万股,10953.378万股,9957.617万股,8535.1万股,4267.55万股
    高管股,0万股,0万股,0万股,0万股,0万股,5.709万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    限售A股,59.06万股,18483.105万股,18567.491万股,18571.773万股,18923.106万股,29731.673万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    流通B股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    限售B股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    流通H股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    国家股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    国有法人股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    境内法人股,0万股,0万股,0万股,0万股,0万股,0万股,8340.152万股,8340.152万股,7669.543万股,7573.983万股,6885.439万股,4590.293万股,3530.995万股,3070.43万股,2791.3万股,2392.543万股,1196.271万股
      基金持股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    转配股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    内部职工股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    优先股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
