・变动日期,2014-12-31,2014-06-06,2013-12-31,2012-12-31,2011-06-30,2011-05-20,2009-10-21,2007-08-28,2006-08-14,2003-06-30,1997-07-07,1994-08-11,1994-07-05,1993-06-28,1993-05-31,1992-11-09,1992-04-13
・公告日期,2015-04-30,2014-06-05,2014-04-26,2013-04-25,2011-08-22,2011-05-19,2009-10-20,2007-08-27,2006-08-10,,,1900-01-01,1900-01-01,,1900-01-01,1900-01-01,
・股本结构图,,,,,,,,,,,,,,,,,
・变动原因,定期报告,其它上市,定期报告,定期报告,定期报告,增发,其它上市,其它上市,股权分置,定期报告,送、转股,配股,送、转股,配股,送、转股,送、转股,IPO
・总股本,23096.536万股,23096.536万股,23096.536万股,23096.536万股,23096.536万股,23096.54万股,18496.536万股,18496.536万股,18496.536万股,14359.366万股,14359.366万股,7363.778万股,6064.282万股,4331.63万股,3057.624万股,2548.02万股,2123.35万股
  流通股,,,,,,,,,,,,,,,,,
    流通A股,20588.714万股,20581.314万股,18481.314万股,18483.164万股,18496.536万股,18496.54万股,18496.536万股,14475.914万股,12093.266万股,7956.096万股,7956.096万股,4080.049万股,3360.196万股,2400.14万股,1209.6万股,1008万股,840万股
    高管股,7.823万股,15.222万股,15.222万股,13.372万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    限售A股,2500万股,2500万股,4600万股,4600万股,4600万股,4600万股,0万股,4020.623万股,6403.27万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    流通B股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    限售B股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    流通H股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    国家股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,713.197万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    国有法人股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,4733.819万股,2427.6万股,1999.2万股,1428万股,1499.184万股,1249.32万股,1041.1万股
    境内法人股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,5502.589万股,2821.84万股,2242.198万股,1601.57万股,1619.441万股,1349.534万股,1124.612万股
      境内发起人股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,713.197万股,5502.589万股,2821.84万股,2242.198万股,1601.57万股,1619.441万股,1349.534万股,1124.612万股
      募集法人股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,5690.074万股,900.682万股,461.888万股,461.888万股,329.92万股,228.583万股,190.486万股,158.738万股
      一般法人股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
      战略投资者持股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
      基金持股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    转配股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    内部职工股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    优先股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
